i,j,theta_lo,phi_lo,theta_hi,phi_hi,hs
0,30,0.0,3.769911184307752,0.06283185307179587,3.8955748904513436,0.0
0,31,0.0,3.8955748904513436,0.06283185307179587,4.0212385965949355,0.0
0,32,0.0,4.0212385965949355,0.06283185307179587,4.1469023027385274,5833.802705500586
0,33,0.0,4.1469023027385274,0.06283185307179587,4.272566008882119,5973.33649065911
0,34,0.0,4.272566008882119,0.06283185307179587,4.39822971502571,0.0
0,35,0.0,4.39822971502571,0.06283185307179587,4.523893421169302,1944.6009018335287
0,36,0.0,4.523893421169302,0.06283185307179587,4.649557127312894,1944.6009018335287
0,37,0.0,4.649557127312894,0.06283185307179587,4.775220833456486,0.0
0,38,0.0,4.775220833456486,0.06283185307179587,4.900884539600078,1984.525308569638
0,39,0.0,4.900884539600078,0.06283185307179587,5.026548245743669,4028.7355888256097
0,40,0.0,5.026548245743669,0.06283185307179587,5.152211951887261,0.0
0,41,0.0,5.152211951887261,0.06283185307179587,5.277875658030853,0.0
0,42,0.0,5.277875658030853,0.06283185307179587,5.403539364174445,0.0
0,43,0.0,5.403539364174445,0.06283185307179587,5.529203070318037,2014.3677944127903
0,44,0.0,5.529203070318037,0.06283185307179587,5.6548667764616285,7917.9373924926385
0,45,0.0,5.6548667764616285,0.06283185307179587,5.7805304826052195,2014.3677944128049
0,46,0.0,5.7805304826052195,0.06283185307179587,5.906194188748811,2016.384178591382
0,47,0.0,5.906194188748811,0.06283185307179587,6.031857894892403,5975.352874837701
0,48,0.0,6.031857894892403,0.06283185307179587,6.157521601035995,3889.2018036670574
0,49,0.0,6.157521601035995,0.06283185307179587,6.283185307179586,4002.119317668203
1,0,0.06283185307179587,0.0,0.12566370614359174,0.12566370614359174,1993.7349505527168
1,1,0.06283185307179587,0.12566370614359174,0.12566370614359174,0.25132741228718347,2017.0212148280084
1,2,0.06283185307179587,0.25132741228718347,0.12566370614359174,0.3769911184307752,1358.9486943545928
1,3,0.06283185307179587,0.3769911184307752,0.12566370614359174,0.5026548245743669,2689.900030505367
1,4,0.06283185307179587,0.5026548245743669,0.12566370614359174,0.6283185307179586,3339.0887738564174
1,5,0.06283185307179587,0.6283185307179586,0.12566370614359174,0.7539822368615504,3306.245719040396
1,6,0.06283185307179587,0.7539822368615504,0.12566370614359174,0.8796459430051422,2666.0753554953844
1,7,0.06283185307179587,0.8796459430051422,0.12566370614359174,1.0053096491487339,2017.0212148280089
1,8,0.06283185307179587,1.0053096491487339,0.12566370614359174,1.1309733552923256,5332.823724409136
1,9,0.06283185307179587,1.1309733552923256,0.12566370614359174,1.2566370614359172,1993.7349505527175
1,10,0.06283185307179587,1.2566370614359172,0.12566370614359174,1.3823007675795091,1995.080977389436
1,11,0.06283185307179587,1.3823007675795091,0.12566370614359174,1.5079644737231008,2656.7877703220047
1,12,0.06283185307179587,1.5079644737231008,0.12566370614359174,1.6336281798666925,1321.3945456100478
1,13,0.06283185307179587,1.6336281798666925,0.12566370614359174,1.7592918860102844,5957.91858738285
1,14,0.06283185307179587,1.7592918860102844,0.12566370614359174,1.884955592153876,1993.7349505527175
1,15,0.06283185307179587,1.884955592153876,0.12566370614359174,2.0106192982974678,4011.4291787990874
1,16,0.06283185307179587,2.0106192982974678,0.12566370614359174,2.1362830044410597,2017.0212148280054
1,17,0.06283185307179587,2.1362830044410597,0.12566370614359174,2.261946710584651,2727.5887819335903
1,18,0.06283185307179587,2.261946710584651,0.12566370614359174,2.387610416728243,672.3404049426684
1,19,0.06283185307179587,2.387610416728243,0.12566370614359174,2.5132741228718345,649.0541406673792
1,20,0.06283185307179587,2.5132741228718345,0.12566370614359174,2.6389378290154264,4071.5965784005566
1,21,0.06283185307179587,2.6389378290154264,0.12566370614359174,2.7646015351590183,2703.629504239928
1,22,0.06283185307179587,2.7646015351590183,0.12566370614359174,2.8902652413026098,1321.39454561005
